,neighborhood,category,year,time,value
73,Allston,Aggravated Assault,2016,11,3
74,Allston,Aggravated Assault,2016,12,2
75,Allston,Aggravated Assault,2016,13,3
76,Allston,Aggravated Assault,2016,14,4
77,Allston,Aggravated Assault,2016,16,6
78,Allston,Aggravated Assault,2016,17,2
79,Allston,Aggravated Assault,2016,18,2
80,Allston,Aggravated Assault,2016,19,1
81,Allston,Aggravated Assault,2016,20,1
82,Allston,Aggravated Assault,2016,21,1
83,Allston,Aggravated Assault,2016,22,2
84,Allston,Aggravated Assault,2016,23,5
85,Allston,Aggravated Assault,2017,00,4
86,Allston,Aggravated Assault,2017,01,3
87,Allston,Aggravated Assault,2017,02,6
88,Allston,Aggravated Assault,2017,05,2
89,Allston,Aggravated Assault,2017,07,1
90,Allston,Aggravated Assault,2017,08,5
91,Allston,Aggravated Assault,2017,09,2
92,Allston,Aggravated Assault,2017,10,1
93,Allston,Aggravated Assault,2017,11,2
94,Allston,Aggravated Assault,2017,12,1
95,Allston,Aggravated Assault,2017,13,3
96,Allston,Aggravated Assault,2017,14,2
97,Allston,Aggravated Assault,2017,16,1
98,Allston,Aggravated Assault,2017,17,1
99,Allston,Aggravated Assault,2017,18,1
100,Allston,Aggravated Assault,2017,19,1
101,Allston,Aggravated Assault,2017,20,4
102,Allston,Aggravated Assault,2017,21,2
103,Allston,Aggravated Assault,2017,22,2
104,Allston,Aggravated Assault,2017,23,2
105,Allston,Aggravated Assault,2018,00,3
106,Allston,Aggravated Assault,2018,01,8
107,Allston,Aggravated Assault,2018,02,5
108,Allston,Aggravated Assault,2018,03,2
109,Allston,Aggravated Assault,2018,05,1
110,Allston,Aggravated Assault,2018,06,1
111,Allston,Aggravated Assault,2018,09,2
112,Allston,Aggravated Assault,2018,10,1
113,Allston,Aggravated Assault,2018,11,5
114,Allston,Aggravated Assault,2018,13,1
115,Allston,Aggravated Assault,2018,15,2
116,Allston,Aggravated Assault,2018,16,1
117,Allston,Aggravated Assault,2018,17,2
118,Allston,Aggravated Assault,2018,18,1
119,Allston,Aggravated Assault,2018,20,1
120,Allston,Aggravated Assault,2018,21,2
121,Allston,Aggravated Assault,2018,22,4
122,Allston,Aggravated Assault,2018,23,2
123,Allston,Aggravated Assault,2019,01,3
124,Allston,Aggravated Assault,2019,02,1
125,Allston,Aggravated Assault,2019,07,1
126,Allston,Aggravated Assault,2019,09,2
127,Allston,Aggravated Assault,2019,10,2
128,Allston,Aggravated Assault,2019,11,1
129,Allston,Aggravated Assault,2019,12,1
130,Allston,Aggravated Assault,2019,13,1
131,Allston,Aggravated Assault,2019,14,2
132,Allston,Aggravated Assault,2019,15,2
133,Allston,Aggravated Assault,2019,16,1
134,Allston,Aggravated Assault,2019,17,3
135,Allston,Aggravated Assault,2019,18,2
136,Allston,Aggravated Assault,2019,19,2
137,Allston,Aggravated Assault,2019,20,2
138,Allston,Aggravated Assault,2019,22,1
139,Allston,Aggravated Assault,2019,23,1
140,Allston,Arson,2012,01,6
141,Allston,Arson,2012,02,4
142,Allston,Arson,2012,03,3
143,Allston,Arson,2012,04,2
144,Allston,Arson,2012,05,2
145,Allston,Arson,2012,06,8
146,Allston,Arson,2012,07,3
147,Allston,Arson,2012,08,7
148,Allston,Arson,2012,09,4
149,Allston,Arson,2012,10,3
150,Allston,Arson,2012,11,6
151,Allston,Arson,2012,12,3
152,Allston,Arson,2013,01,4
153,Allston,Arson,2013,02,5
154,Allston,Arson,2013,03,2
155,Allston,Arson,2013,04,4
156,Allston,Arson,2013,05,6
157,Allston,Arson,2013,06,8
158,Allston,Arson,2013,07,11
159,Allston,Arson,2013,08,8
160,Allston,Arson,2013,09,5
161,Allston,Arson,2013,10,6
162,Allston,Arson,2013,11,2
163,Allston,Arson,2013,12,4
164,Allston,Arson,2014,01,3
165,Allston,Arson,2014,02,4
166,Allston,Arson,2014,03,5
167,Allston,Arson,2014,04,3
168,Allston,Arson,2014,05,2
169,Allston,Arson,2014,06,7
170,Allston,Arson,2014,07,8
171,Allston,Arson,2014,08,10
172,Allston,Arson,2014,09,10
173,Allston,Arson,2014,10,5
174,Allston,Arson,2014,11,3
175,Allston,Arson,2014,12,2
176,Allston,Arson,2015,01,1
177,Allston,Arson,2015,04,1
178,Allston,Arson,2015,05,3
179,Allston,Arson,2015,06,2
180,Allston,Arson,2015,07,4
181,Allston,Arson,2015,08,3
182,Allston,Arson,2015,09,1
183,Allston,Arson,2015,10,1
184,Allston,Arson,2015,11,3
185,Allston,Arson,2015,12,2
186,Allston,Arson,2016,09,1
187,Allston,Arson,2017,15,1
188,Allston,Arson,2018,08,1
189,Allston,Arson,2018,19,1
190,Allston,Assembly or Gathering Violations,2012,01,3
191,Allston,Assembly or Gathering Violations,2012,02,3
192,Allston,Assembly or Gathering Violations,2012,10,1
193,Allston,Assembly or Gathering Violations,2012,11,3
194,Allston,Assembly or Gathering Violations,2012,12,5
195,Allston,Assembly or Gathering Violations,2013,01,2
196,Allston,Assembly or Gathering Violations,2013,02,4
197,Allston,Assembly or Gathering Violations,2013,03,1
198,Allston,Assembly or Gathering Violations,2013,04,3
199,Allston,Assembly or Gathering Violations,2013,05,1
200,Allston,Assembly or Gathering Violations,2013,06,2
201,Allston,Assembly or Gathering Violations,2013,09,1
202,Allston,Assembly or Gathering Violations,2013,11,5
203,Allston,Assembly or Gathering Violations,2013,12,6
204,Allston,Assembly or Gathering Violations,2014,01,8
205,Allston,Assembly or Gathering Violations,2014,04,3
206,Allston,Assembly or Gathering Violations,2014,07,6
207,Allston,Assembly or Gathering Violations,2014,08,1
208,Allston,Assembly or Gathering Violations,2014,10,5
209,Allston,Assembly or Gathering Violations,2014,11,3
210,Allston,Assembly or Gathering Violations,2014,12,4
211,Allston,Assembly or Gathering Violations,2015,00,1
212,Allston,Assembly or Gathering Violations,2015,02,1
213,Allston,Assembly or Gathering Violations,2015,06,1
214,Allston,Assembly or Gathering Violations,2015,10,2
215,Allston,Assembly or Gathering Violations,2015,12,4
216,Allston,Assembly or Gathering Violations,2015,22,1
217,Allston,Assembly or Gathering Violations,2015,23,2
218,Allston,Assembly or Gathering Violations,2016,00,7
219,Allston,Assembly or Gathering Violations,2016,01,2
220,Allston,Assembly or Gathering Violations,2016,02,1
221,Allston,Assembly or Gathering Violations,2016,09,1
222,Allston,Assembly or Gathering Violations,2016,11,1
223,Allston,Assembly or Gathering Violations,2016,23,3
224,Allston,Assembly or Gathering Violations,2017,00,2
225,Allston,Assembly or Gathering Violations,2017,09,1
226,Allston,Assembly or Gathering Violations,2017,10,1
227,Allston,Assembly or Gathering Violations,2017,12,1
228,Allston,Assembly or Gathering Violations,2017,14,2
229,Allston,Assembly or Gathering Violations,2017,18,1
230,Allston,Assembly or Gathering Violations,2017,22,1
231,Allston,Assembly or Gathering Violations,2018,00,1
232,Allston,Assembly or Gathering Violations,2018,02,1
233,Allston,Assembly or Gathering Violations,2018,07,1
234,Allston,Assembly or Gathering Violations,2018,23,3
235,Allston,Assembly or Gathering Violations,2019,00,1
236,Allston,Assembly or Gathering Violations,2019,10,1
237,Allston,Assembly or Gathering Violations,2019,11,1
238,Allston,Assembly or Gathering Violations,2019,23,1
239,Allston,Auto Theft,2012,01,3
240,Allston,Auto Theft,2012,07,4
241,Allston,Auto Theft,2012,09,3
242,Allston,Auto Theft,2012,10,2
243,Allston,Auto Theft,2012,11,1
244,Allston,Auto Theft,2012,12,2
245,Allston,Auto Theft,2013,01,5
246,Allston,Auto Theft,2013,02,2
247,Allston,Auto Theft,2013,03,5
248,Allston,Auto Theft,2013,04,5
249,Allston,Auto Theft,2013,05,4
250,Allston,Auto Theft,2013,06,3
251,Allston,Auto Theft,2013,07,1
252,Allston,Auto Theft,2013,08,4
253,Allston,Auto Theft,2013,09,5
254,Allston,Auto Theft,2013,10,6
255,Allston,Auto Theft,2013,11,6
256,Allston,Auto Theft,2013,12,11
257,Allston,Auto Theft,2014,01,7
258,Allston,Auto Theft,2014,02,2
259,Allston,Auto Theft,2014,03,1
260,Allston,Auto Theft,2014,04,2
261,Allston,Auto Theft,2014,05,1
262,Allston,Auto Theft,2014,06,1
263,Allston,Auto Theft,2014,07,6
264,Allston,Auto Theft,2014,08,2
265,Allston,Auto Theft,2014,09,5
266,Allston,Auto Theft,2014,10,2
267,Allston,Auto Theft,2014,11,5
268,Allston,Auto Theft,2014,12,5
269,Allston,Auto Theft,2015,01,1
270,Allston,Auto Theft,2015,03,3
271,Allston,Auto Theft,2015,06,1
272,Allston,Auto Theft,2015,08,6
273,Allston,Auto Theft,2015,11,2
274,Allston,Auto Theft,2015,12,7
275,Allston,Auto Theft,2015,13,1
276,Allston,Auto Theft,2015,14,1
277,Allston,Auto Theft,2015,15,1
278,Allston,Auto Theft,2015,16,2
279,Allston,Auto Theft,2015,17,1
280,Allston,Auto Theft,2015,18,1
281,Allston,Auto Theft,2015,19,3
282,Allston,Auto Theft,2015,20,2
283,Allston,Auto Theft,2015,22,3
284,Allston,Auto Theft,2015,23,1
285,Allston,Auto Theft,2016,00,4
286,Allston,Auto Theft,2016,03,2
287,Allston,Auto Theft,2016,07,1
288,Allston,Auto Theft,2016,08,2
289,Allston,Auto Theft,2016,09,7
290,Allston,Auto Theft,2016,10,1
291,Allston,Auto Theft,2016,11,1
292,Allston,Auto Theft,2016,12,3
293,Allston,Auto Theft,2016,13,3
294,Allston,Auto Theft,2016,16,4
295,Allston,Auto Theft,2016,17,3
296,Allston,Auto Theft,2016,18,3
297,Allston,Auto Theft,2016,19,2
298,Allston,Auto Theft,2016,20,1
299,Allston,Auto Theft,2016,21,2
300,Allston,Auto Theft,2016,22,5
301,Allston,Auto Theft,2016,23,2
302,Allston,Auto Theft,2017,00,3
303,Allston,Auto Theft,2017,01,1
304,Allston,Auto Theft,2017,02,2
305,Allston,Auto Theft,2017,06,1
306,Allston,Auto Theft,2017,07,1
307,Allston,Auto Theft,2017,08,1
308,Allston,Auto Theft,2017,09,1
309,Allston,Auto Theft,2017,10,2
310,Allston,Auto Theft,2017,12,2
311,Allston,Auto Theft,2017,13,1
312,Allston,Auto Theft,2017,15,1
313,Allston,Auto Theft,2017,16,3
314,Allston,Auto Theft,2017,17,1
315,Allston,Auto Theft,2017,18,3
316,Allston,Auto Theft,2017,19,6
317,Allston,Auto Theft,2017,20,3
318,Allston,Auto Theft,2017,21,3
319,Allston,Auto Theft,2017,22,2
320,Allston,Auto Theft,2017,23,2
321,Allston,Auto Theft,2018,00,2
322,Allston,Auto Theft,2018,04,1
323,Allston,Auto Theft,2018,06,1
324,Allston,Auto Theft,2018,08,1
325,Allston,Auto Theft,2018,09,1
326,Allston,Auto Theft,2018,10,1
327,Allston,Auto Theft,2018,11,1
328,Allston,Auto Theft,2018,12,1
329,Allston,Auto Theft,2018,14,1
330,Allston,Auto Theft,2018,15,3
331,Allston,Auto Theft,2018,16,4
332,Allston,Auto Theft,2018,17,4
333,Allston,Auto Theft,2018,18,4
334,Allston,Auto Theft,2018,20,1
335,Allston,Auto Theft,2018,21,3
336,Allston,Auto Theft,2018,22,5
337,Allston,Auto Theft,2018,23,2
338,Allston,Auto Theft,2019,00,1
339,Allston,Auto Theft,2019,01,1
340,Allston,Auto Theft,2019,03,1
341,Allston,Auto Theft,2019,04,1
342,Allston,Auto Theft,2019,06,1
343,Allston,Auto Theft,2019,08,2
344,Allston,Auto Theft,2019,09,1
345,Allston,Auto Theft,2019,11,1
346,Allston,Auto Theft,2019,12,1
347,Allston,Auto Theft,2019,15,3
348,Allston,Auto Theft,2019,16,1
349,Allston,Auto Theft,2019,17,1
350,Allston,Auto Theft,2019,18,3
351,Allston,Auto Theft,2019,19,1
352,Allston,Auto Theft,2019,20,2
353,Allston,Auto Theft,2019,21,3
354,Allston,Auto Theft,2019,22,3
355,Allston,Auto Theft,2019,23,1
356,Allston,Auto Theft Recovery,2015,00,1
357,Allston,Auto Theft Recovery,2015,12,1
358,Allston,Auto Theft Recovery,2016,00,1
359,Allston,Auto Theft Recovery,2016,08,1
360,Allston,Auto Theft Recovery,2016,11,1
361,Allston,Auto Theft Recovery,2016,12,1
362,Allston,Auto Theft Recovery,2016,14,1
363,Allston,Auto Theft Recovery,2016,15,2
364,Allston,Auto Theft Recovery,2016,16,2
365,Allston,Auto Theft Recovery,2016,17,1
366,Allston,Auto Theft Recovery,2017,00,1
367,Allston,Auto Theft Recovery,2017,08,1
368,Allston,Auto Theft Recovery,2017,10,1
369,Allston,Auto Theft Recovery,2017,12,1
370,Allston,Auto Theft Recovery,2017,15,2
371,Allston,Auto Theft Recovery,2017,17,1
372,Allston,Auto Theft Recovery,2017,19,1
373,Allston,Auto Theft Recovery,2017,23,2
374,Allston,Auto Theft Recovery,2018,11,1
375,Allston,Auto Theft Recovery,2018,22,1
376,Allston,Auto Theft Recovery,2019,00,1
377,Allston,Auto Theft Recovery,2019,12,1
378,Allston,Auto Theft Recovery,2019,13,1
379,Allston,Auto Theft Recovery,2019,16,1
380,Allston,Ballistics,2012,01,1
381,Allston,Ballistics,2013,03,1
382,Allston,Ballistics,2013,10,1
383,Allston,Ballistics,2013,12,1
384,Allston,Ballistics,2014,09,1
385,Allston,Ballistics,2015,02,1
386,Allston,Ballistics,2015,06,1
387,Allston,Ballistics,2015,09,1
388,Allston,Ballistics,2015,14,1
389,Allston,Ballistics,2015,23,1
390,Allston,Ballistics,2016,02,1
391,Allston,Ballistics,2016,10,1
392,Allston,Ballistics,2017,13,1
393,Allston,Ballistics,2018,12,2
394,Allston,Ballistics,2018,20,1
395,Allston,Bomb Hoax,2012,01,1
396,Allston,Bomb Hoax,2012,04,1
397,Allston,Bomb Hoax,2013,06,1
398,Allston,Bomb Hoax,2013,07,2
399,Allston,Bomb Hoax,2013,10,1
400,Allston,Bomb Hoax,2014,02,1
401,Allston,Bomb Hoax,2014,08,1
402,Allston,Bomb Hoax,2014,10,1
403,Allston,Bomb Hoax,2015,10,1
404,Allston,Bomb Hoax,2015,13,2
405,Allston,Bomb Hoax,2016,00,1
406,Allston,Bomb Hoax,2016,08,1
407,Allston,Bomb Hoax,2016,10,2
408,Allston,Bomb Hoax,2016,12,1
409,Allston,Bomb Hoax,2017,12,1
410,Allston,Bomb Hoax,2017,13,1
411,Allston,Bomb Hoax,2018,10,1
412,Allston,Bomb Hoax,2018,13,1
413,Allston,Commercial Burglary,2012,01,1
414,Allston,Commercial Burglary,2012,02,1
415,Allston,Commercial Burglary,2012,03,2
416,Allston,Commercial Burglary,2012,04,2
417,Allston,Commercial Burglary,2012,06,2
418,Allston,Commercial Burglary,2012,09,1
419,Allston,Commercial Burglary,2012,11,1
420,Allston,Commercial Burglary,2013,02,1
421,Allston,Commercial Burglary,2013,03,1
422,Allston,Commercial Burglary,2013,04,1
423,Allston,Commercial Burglary,2013,05,1
424,Allston,Commercial Burglary,2013,06,1
425,Allston,Commercial Burglary,2013,09,3
426,Allston,Commercial Burglary,2013,10,1
427,Allston,Commercial Burglary,2013,11,1
428,Allston,Commercial Burglary,2013,12,1
429,Allston,Commercial Burglary,2014,01,2
430,Allston,Commercial Burglary,2014,02,2
431,Allston,Commercial Burglary,2014,04,1
432,Allston,Commercial Burglary,2014,05,1
433,Allston,Commercial Burglary,2014,08,2
434,Allston,Commercial Burglary,2014,09,2
435,Allston,Commercial Burglary,2014,11,1
436,Allston,Commercial Burglary,2014,12,2
437,Allston,Commercial Burglary,2015,00,1
438,Allston,Commercial Burglary,2015,01,3
439,Allston,Commercial Burglary,2015,03,2
440,Allston,Commercial Burglary,2015,04,2
441,Allston,Commercial Burglary,2015,09,1
442,Allston,Commercial Burglary,2015,10,1
443,Allston,Commercial Burglary,2015,11,3
444,Allston,Commercial Burglary,2015,12,2
445,Allston,Commercial Burglary,2015,13,2
446,Allston,Commercial Burglary,2015,18,1
447,Allston,Commercial Burglary,2015,19,1
448,Allston,Commercial Burglary,2015,22,2
449,Allston,Commercial Burglary,2016,00,1
450,Allston,Commercial Burglary,2016,02,1
451,Allston,Commercial Burglary,2016,04,1
452,Allston,Commercial Burglary,2016,05,1
453,Allston,Commercial Burglary,2016,08,1
454,Allston,Commercial Burglary,2016,11,1
455,Allston,Commercial Burglary,2016,13,1
456,Allston,Commercial Burglary,2016,18,2
457,Allston,Commercial Burglary,2016,22,1
458,Allston,Commercial Burglary,2016,23,1
459,Allston,Commercial Burglary,2017,00,1
460,Allston,Commercial Burglary,2017,01,1
461,Allston,Commercial Burglary,2017,03,1
462,Allston,Commercial Burglary,2017,04,1
463,Allston,Commercial Burglary,2017,07,1
464,Allston,Commercial Burglary,2017,09,1
465,Allston,Commercial Burglary,2017,10,1
466,Allston,Commercial Burglary,2017,21,1
467,Allston,Commercial Burglary,2017,22,1
468,Allston,Commercial Burglary,2018,05,1
469,Allston,Commercial Burglary,2018,19,1
470,Allston,Commercial Burglary,2018,23,1
471,Allston,Commercial Burglary,2019,00,2
472,Allston,Commercial Burglary,2019,05,2
473,Allston,Commercial Burglary,2019,21,1
474,Allston,Commercial Burglary,2019,22,2
475,Allston,Confidence Games,2015,00,7
476,Allston,Confidence Games,2015,07,1
477,Allston,Confidence Games,2015,08,2
478,Allston,Confidence Games,2015,09,1
479,Allston,Confidence Games,2015,10,1
480,Allston,Confidence Games,2015,12,3
481,Allston,Confidence Games,2015,16,3
482,Allston,Confidence Games,2015,17,1
483,Allston,Confidence Games,2015,18,3
484,Allston,Confidence Games,2015,19,3
485,Allston,Confidence Games,2015,20,1
486,Allston,Confidence Games,2015,21,1
487,Allston,Confidence Games,2016,00,3
488,Allston,Confidence Games,2016,01,2
489,Allston,Confidence Games,2016,05,1
490,Allston,Confidence Games,2016,06,1
491,Allston,Confidence Games,2016,07,1
492,Allston,Confidence Games,2016,08,2
493,Allston,Confidence Games,2016,09,1
494,Allston,Confidence Games,2016,10,3
495,Allston,Confidence Games,2016,11,1
496,Allston,Confidence Games,2016,12,2
497,Allston,Confidence Games,2016,13,3
498,Allston,Confidence Games,2016,14,1
499,Allston,Confidence Games,2016,16,4
500,Allston,Confidence Games,2016,17,2
501,Allston,Confidence Games,2016,18,5
502,Allston,Confidence Games,2016,20,1
503,Allston,Confidence Games,2016,21,1
504,Allston,Confidence Games,2016,22,1
505,Allston,Confidence Games,2016,23,1
506,Allston,Confidence Games,2017,07,2
507,Allston,Confidence Games,2017,08,1
508,Allston,Confidence Games,2017,11,1
509,Allston,Confidence Games,2017,12,4
510,Allston,Confidence Games,2017,14,2
511,Allston,Confidence Games,2017,15,3
512,Allston,Confidence Games,2017,16,2
513,Allston,Confidence Games,2017,17,4
514,Allston,Confidence Games,2017,18,1
515,Allston,Confidence Games,2017,19,2
516,Allston,Confidence Games,2017,20,4
517,Allston,Confidence Games,2017,21,2
518,Allston,Confidence Games,2017,23,1
519,Allston,Confidence Games,2018,00,3
520,Allston,Confidence Games,2018,02,1
521,Allston,Confidence Games,2018,09,3
522,Allston,Confidence Games,2018,11,2
523,Allston,Confidence Games,2018,12,4
524,Allston,Confidence Games,2018,13,1
525,Allston,Confidence Games,2018,14,1
526,Allston,Confidence Games,2018,16,1
527,Allston,Confidence Games,2018,17,2
528,Allston,Confidence Games,2018,18,1
529,Allston,Confidence Games,2018,19,1
530,Allston,Confidence Games,2018,21,1
531,Allston,Confidence Games,2019,00,4
532,Allston,Confidence Games,2019,01,1
533,Allston,Confidence Games,2019,07,1
534,Allston,Confidence Games,2019,08,1
535,Allston,Confidence Games,2019,09,1
536,Allston,Confidence Games,2019,11,1
537,Allston,Confidence Games,2019,13,1
538,Allston,Confidence Games,2019,14,1
539,Allston,Confidence Games,2019,20,1
540,Allston,Confidence Games,2019,22,4
541,Allston,Confidence Games,2019,23,1
542,Allston,Counterfeiting,2015,01,1
543,Allston,Counterfeiting,2015,12,0
544,Allston,Counterfeiting,2015,14,1
545,Allston,Counterfeiting,2015,15,1
546,Allston,Counterfeiting,2015,16,1
547,Allston,Counterfeiting,2015,17,1
548,Allston,Counterfeiting,2015,23,1
549,Allston,Counterfeiting,2016,00,1
550,Allston,Counterfeiting,2016,06,1
551,Allston,Counterfeiting,2016,08,3
552,Allston,Counterfeiting,2016,09,1
553,Allston,Counterfeiting,2016,10,1
554,Allston,Counterfeiting,2016,13,1
555,Allston,Counterfeiting,2016,14,2
556,Allston,Counterfeiting,2016,19,1
557,Allston,Counterfeiting,2016,20,1
558,Allston,Counterfeiting,2016,21,1
559,Allston,Counterfeiting,2017,02,1
560,Allston,Counterfeiting,2017,09,1
561,Allston,Counterfeiting,2017,10,1
562,Allston,Counterfeiting,2017,12,2
563,Allston,Counterfeiting,2017,13,1
564,Allston,Counterfeiting,2017,14,1
565,Allston,Counterfeiting,2017,15,5
566,Allston,Counterfeiting,2017,17,1
567,Allston,Counterfeiting,2017,18,2
568,Allston,Counterfeiting,2017,20,3
569,Allston,Counterfeiting,2017,23,1
570,Allston,Counterfeiting,2018,00,2
571,Allston,Counterfeiting,2018,01,1
572,Allston,Counterfeiting,2018,07,1
573,Allston,Counterfeiting,2018,08,1
574,Allston,Counterfeiting,2018,12,2
575,Allston,Counterfeiting,2018,17,1
576,Allston,Counterfeiting,2019,08,1
577,Allston,Counterfeiting,2019,09,1
578,Allston,Counterfeiting,2019,12,2
579,Allston,Counterfeiting,2019,13,1
580,Allston,Counterfeiting,2019,14,2
581,Allston,Counterfeiting,2019,16,3
582,Allston,Counterfeiting,2019,19,1
583,Allston,Counterfeiting,2019,23,1
584,Allston,Criminal Harassment,2015,12,0
585,Allston,Criminal Harassment,2015,15,1
586,Allston,Criminal Harassment,2015,16,1
587,Allston,Criminal Harassment,2017,00,1
588,Allston,Criminal Harassment,2017,13,1
589,Allston,Criminal Harassment,2017,18,1
590,Allston,Criminal Harassment,2018,00,1
591,Allston,Criminal Harassment,2018,09,1
592,Allston,Criminal Harassment,2018,11,1
593,Allston,Criminal Harassment,2018,16,1
594,Allston,Disorderly Conduct,2012,01,1
595,Allston,Disorderly Conduct,2012,02,1
596,Allston,Disorderly Conduct,2012,03,1
597,Allston,Disorderly Conduct,2012,08,1
598,Allston,Disorderly Conduct,2012,10,2
599,Allston,Disorderly Conduct,2012,11,1
600,Allston,Disorderly Conduct,2012,12,2
601,Allston,Disorderly Conduct,2013,01,3
602,Allston,Disorderly Conduct,2013,02,3
603,Allston,Disorderly Conduct,2013,03,2
604,Allston,Disorderly Conduct,2013,04,2
605,Allston,Disorderly Conduct,2013,05,2
606,Allston,Disorderly Conduct,2013,06,3
607,Allston,Disorderly Conduct,2013,07,2
608,Allston,Disorderly Conduct,2013,09,3
609,Allston,Disorderly Conduct,2013,11,2
610,Allston,Disorderly Conduct,2013,12,7
611,Allston,Disorderly Conduct,2014,01,3
612,Allston,Disorderly Conduct,2014,02,1
613,Allston,Disorderly Conduct,2014,03,2
614,Allston,Disorderly Conduct,2014,04,3
615,Allston,Disorderly Conduct,2014,05,1
616,Allston,Disorderly Conduct,2014,07,2
617,Allston,Disorderly Conduct,2014,08,1
618,Allston,Disorderly Conduct,2014,09,2
619,Allston,Disorderly Conduct,2014,10,2
620,Allston,Disorderly Conduct,2014,11,1
621,Allston,Disorderly Conduct,2014,12,3
622,Allston,Disorderly Conduct,2015,02,1
623,Allston,Disorderly Conduct,2015,03,1
624,Allston,Disorderly Conduct,2015,08,1
625,Allston,Disorderly Conduct,2015,10,2
626,Allston,Disorderly Conduct,2015,11,2
627,Allston,Disorderly Conduct,2015,12,0
628,Allston,Disorderly Conduct,2015,16,1
629,Allston,Disorderly Conduct,2015,18,1
630,Allston,Disorderly Conduct,2015,22,2
631,Allston,Disorderly Conduct,2015,23,1
632,Allston,Disorderly Conduct,2016,01,1
633,Allston,Disorderly Conduct,2016,05,1
634,Allston,Disorderly Conduct,2016,08,7
635,Allston,Disorderly Conduct,2016,09,3
636,Allston,Disorderly Conduct,2016,10,1
637,Allston,Disorderly Conduct,2016,13,3
638,Allston,Disorderly Conduct,2016,15,1
639,Allston,Disorderly Conduct,2016,20,1
640,Allston,Disorderly Conduct,2016,21,1
641,Allston,Disorderly Conduct,2017,00,4
642,Allston,Disorderly Conduct,2017,01,2
643,Allston,Disorderly Conduct,2017,03,1
644,Allston,Disorderly Conduct,2017,07,1
645,Allston,Disorderly Conduct,2017,08,1
646,Allston,Disorderly Conduct,2017,09,3
647,Allston,Disorderly Conduct,2017,11,2
648,Allston,Disorderly Conduct,2017,12,5
649,Allston,Disorderly Conduct,2017,13,4
650,Allston,Disorderly Conduct,2017,14,4
651,Allston,Disorderly Conduct,2017,15,1
652,Allston,Disorderly Conduct,2017,16,2
653,Allston,Disorderly Conduct,2017,20,1
654,Allston,Disorderly Conduct,2017,21,1
